




Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	GO Ontology database  Released 2019-10-08
Analyzed List:	GCST008114reported.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20996)	GCST008114reported.txt (2)	GCST008114reported.txt (expected)	GCST008114reported.txt (over/under)	GCST008114reported.txt (fold Enrichment)	GCST008114reported.txt (raw P-value)	GCST008114reported.txt (FDR)
positive regulation of dipeptide transmembrane transport (GO:2001150)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
CD8-positive, gamma-delta intraepithelial T cell differentiation (GO:0002305)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
gamma-delta intraepithelial T cell differentiation (GO:0002304)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
CD8-positive, alpha-beta T cell differentiation involved in immune response (GO:0002302)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
CD8-positive, alpha-beta intraepithelial T cell differentiation (GO:0002300)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
endothelial cell differentiation (GO:0045446)	82	0	.01	-	 < 0.01	1.00E00	1.00E00
S-methylmethionine metabolic process (GO:0033477)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of dipeptide transmembrane transport (GO:2001148)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase activity (GO:2001145)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase activity (GO:2001144)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
nicotinate transport (GO:2001142)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of phospholipid transport (GO:2001140)	9	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of phospholipid transport (GO:2001139)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of phospholipid transport (GO:2001138)	9	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of endocytic recycling (GO:2001137)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of endocytic recycling (GO:2001136)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of endocytic recycling (GO:2001135)	10	0	.00	-	 < 0.01	1.00E00	1.00E00
protein-lipid complex assembly (GO:0065005)	30	0	.00	-	 < 0.01	1.00E00	1.00E00
protein-DNA complex assembly (GO:0065004)	208	0	.02	-	 < 0.01	1.00E00	1.00E00
intracellular protein transmembrane transport (GO:0065002)	49	0	.00	-	 < 0.01	1.00E00	1.00E00
specification of axis polarity (GO:0065001)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of nitric oxide biosynthetic process (GO:0045429)	43	0	.00	-	 < 0.01	1.00E00	1.00E00
nonribosomal peptide biosynthetic process (GO:0019184)	17	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of nitric oxide biosynthetic process (GO:0045428)	60	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of granulocyte macrophage colony-stimulating factor biosynthetic process (GO:0045425)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of granulocyte macrophage colony-stimulating factor biosynthetic process (GO:0045423)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of translational frameshifting (GO:2001125)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of translational frameshifting (GO:2001124)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of interleukin-8 biosynthetic process (GO:0045416)	13	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of interleukin-8 biosynthetic process (GO:0045415)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of interleukin-8 biosynthetic process (GO:0045414)	17	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of interleukin-6 biosynthetic process (GO:0045410)	15	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of cellular response to hepatocyte growth factor stimulus (GO:2001114)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of cellular response to hepatocyte growth factor stimulus (GO:2001113)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of cellular response to hepatocyte growth factor stimulus (GO:2001112)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of lens epithelial cell proliferation (GO:2001111)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of cytolysis by symbiont of host cells (GO:0001899)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of interleukin-6 biosynthetic process (GO:0045409)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of cytolysis by symbiont of host cells (GO:0001898)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of interleukin-6 biosynthetic process (GO:0045408)	23	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of interleukin-5 biosynthetic process (GO:0045407)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
retina homeostasis (GO:0001895)	74	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of interleukin-5 biosynthetic process (GO:0045405)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
tissue homeostasis (GO:0001894)	188	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of interleukin-4 biosynthetic process (GO:0045404)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
maternal placenta development (GO:0001893)	37	0	.00	-	 < 0.01	1.00E00	1.00E00
G protein-coupled receptor signaling pathway coupled to cGMP nucleotide second messenger (GO:0007199)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of interleukin-4 biosynthetic process (GO:0045403)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
embryonic placenta development (GO:0001892)	88	0	.01	-	 < 0.01	1.00E00	1.00E00
adenylate cyclase-inhibiting serotonin receptor signaling pathway (GO:0007198)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of interleukin-4 biosynthetic process (GO:0045402)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
adenylate cyclase-inhibiting G protein-coupled acetylcholine receptor signaling pathway (GO:0007197)	8	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of interleukin-3 biosynthetic process (GO:0045401)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
placenta development (GO:0001890)	156	0	.01	-	 < 0.01	1.00E00	1.00E00
adenylate cyclase-inhibiting G protein-coupled glutamate receptor signaling pathway (GO:0007196)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
adenylate cyclase-inhibiting dopamine receptor signaling pathway (GO:0007195)	10	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of adenylate cyclase activity (GO:0007194)	25	0	.00	-	 < 0.01	1.00E00	1.00E00
adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway (GO:0007193)	86	0	.01	-	 < 0.01	1.00E00	1.00E00
adenylate cyclase-activating dopamine receptor signaling pathway (GO:0007191)	11	0	.00	-	 < 0.01	1.00E00	1.00E00
activation of adenylate cyclase activity (GO:0007190)	40	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of lens epithelial cell proliferation (GO:2001109)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of Rho guanyl-nucleotide exchange factor activity (GO:2001108)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of Rho guanyl-nucleotide exchange factor activity (GO:2001107)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of Rho guanyl-nucleotide exchange factor activity (GO:2001106)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
liver development (GO:0001889)	129	0	.01	-	 < 0.01	1.00E00	1.00E00
selenium compound metabolic process (GO:0001887)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
endothelial cell morphogenesis (GO:0001886)	12	0	.00	-	 < 0.01	1.00E00	1.00E00
endothelial cell development (GO:0001885)	49	0	.00	-	 < 0.01	1.00E00	1.00E00
adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0007189)	128	0	.01	-	 < 0.01	1.00E00	1.00E00
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	208	0	.02	-	 < 0.01	1.00E00	1.00E00
receptor recycling (GO:0001881)	12	0	.00	-	 < 0.01	1.00E00	1.00E00
G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger (GO:0007187)	244	0	.02	-	 < 0.01	1.00E00	1.00E00
Mullerian duct regression (GO:0001880)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
G protein-coupled receptor signaling pathway (GO:0007186)	1315	0	.13	-	 < 0.01	1.00E00	1.00E00
transmembrane receptor protein tyrosine phosphatase signaling pathway (GO:0007185)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
SMAD protein complex assembly (GO:0007183)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
common-partner SMAD protein phosphorylation (GO:0007182)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
transforming growth factor beta receptor complex assembly (GO:0007181)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
response to yeast (GO:0001878)	10	0	.00	-	 < 0.01	1.00E00	1.00E00
transforming growth factor beta receptor signaling pathway (GO:0007179)	97	0	.01	-	 < 0.01	1.00E00	1.00E00
transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0007178)	198	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of epidermal growth factor-activated receptor activity (GO:0007176)	27	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of epidermal growth factor-activated receptor activity (GO:0007175)	14	0	.00	-	 < 0.01	1.00E00	1.00E00
epidermal growth factor catabolic process (GO:0007174)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
epidermal growth factor receptor signaling pathway (GO:0007173)	49	0	.00	-	 < 0.01	1.00E00	1.00E00
signal complex assembly (GO:0007172)	8	0	.00	-	 < 0.01	1.00E00	1.00E00
activation of transmembrane receptor protein tyrosine kinase activity (GO:0007171)	13	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of mesenchymal cell proliferation involved in ureter development (GO:0072199)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
mesenchymal cell proliferation involved in ureter development (GO:0072198)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ureter morphogenesis (GO:0072197)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of complement activation, lectin pathway (GO:0001869)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of complement activation, lectin pathway (GO:0001868)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
kidney smooth muscle tissue development (GO:0072194)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
complement activation, lectin pathway (GO:0001867)	9	0	.00	-	 < 0.01	1.00E00	1.00E00
ureter smooth muscle cell differentiation (GO:0072193)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
NK T cell proliferation (GO:0001866)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
ureter epithelial cell differentiation (GO:0072192)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
NK T cell differentiation (GO:0001865)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
ureter smooth muscle development (GO:0072191)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
ureter urothelium development (GO:0072190)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	516	0	.05	-	 < 0.01	1.00E00	1.00E00
receptor guanylyl cyclase signaling pathway (GO:0007168)	10	0	.00	-	 < 0.01	1.00E00	1.00E00
enzyme linked receptor protein signaling pathway (GO:0007167)	721	0	.07	-	 < 0.01	1.00E00	1.00E00
establishment of tissue polarity (GO:0007164)	24	0	.00	-	 < 0.01	1.00E00	1.00E00
establishment or maintenance of cell polarity (GO:0007163)	202	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of cell adhesion (GO:0007162)	277	0	.03	-	 < 0.01	1.00E00	1.00E00
calcium-independent cell-matrix adhesion (GO:0007161)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
cell-matrix adhesion (GO:0007160)	127	0	.01	-	 < 0.01	1.00E00	1.00E00
ureter development (GO:0072189)	16	0	.00	-	 < 0.01	1.00E00	1.00E00
metanephric cap morphogenesis (GO:0072186)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
metanephric cap development (GO:0072185)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
renal vesicle progenitor cell differentiation (GO:0072184)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of nephron tubule epithelial cell differentiation (GO:0072183)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of nephron tubule epithelial cell differentiation (GO:0072182)	13	0	.00	-	 < 0.01	1.00E00	1.00E00
mesonephric duct formation (GO:0072181)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
mesonephric duct morphogenesis (GO:0072180)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
leukocyte cell-cell adhesion (GO:0007159)	53	0	.01	-	 < 0.01	1.00E00	1.00E00
neuron cell-cell adhesion (GO:0007158)	16	0	.00	-	 < 0.01	1.00E00	1.00E00
heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0007157)	47	0	.00	-	 < 0.01	1.00E00	1.00E00
homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156)	166	0	.02	-	 < 0.01	1.00E00	1.00E00
cell adhesion (GO:0007155)	920	0	.09	-	 < 0.01	1.00E00	1.00E00
positive regulation of epithelial cell differentiation involved in kidney development (GO:2000698)	8	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of epithelial cell differentiation involved in kidney development (GO:2000697)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
nephric duct formation (GO:0072179)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of epithelial cell differentiation involved in kidney development (GO:2000696)	19	0	.00	-	 < 0.01	1.00E00	1.00E00
nephric duct morphogenesis (GO:0072178)	12	0	.00	-	 < 0.01	1.00E00	1.00E00
mesonephric duct development (GO:0072177)	9	0	.00	-	 < 0.01	1.00E00	1.00E00
nephric duct development (GO:0072176)	16	0	.00	-	 < 0.01	1.00E00	1.00E00
epithelial tube formation (GO:0072175)	135	0	.01	-	 < 0.01	1.00E00	1.00E00
metanephric tubule formation (GO:0072174)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of cardiac muscle cell myoblast differentiation (GO:2000691)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
metanephric tubule morphogenesis (GO:0072173)	11	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of cardiac muscle cell myoblast differentiation (GO:2000690)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
mesonephric tubule formation (GO:0072172)	8	0	.00	-	 < 0.01	1.00E00	1.00E00
phagolysosome assembly (GO:0001845)	13	0	.00	-	 < 0.01	1.00E00	1.00E00
mesonephric tubule morphogenesis (GO:0072171)	55	0	.01	-	 < 0.01	1.00E00	1.00E00
protein insertion into mitochondrial membrane involved in apoptotic signaling pathway (GO:0001844)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
metanephric tubule development (GO:0072170)	18	0	.00	-	 < 0.01	1.00E00	1.00E00
neural tube closure (GO:0001843)	93	0	.01	-	 < 0.01	1.00E00	1.00E00
neural fold formation (GO:0001842)	8	0	.00	-	 < 0.01	1.00E00	1.00E00
neural tube formation (GO:0001841)	108	0	.01	-	 < 0.01	1.00E00	1.00E00
female meiosis II (GO:0007147)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
neural plate development (GO:0001840)	10	0	.00	-	 < 0.01	1.00E00	1.00E00
meiotic recombination nodule assembly (GO:0007146)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
female meiosis I (GO:0007144)	8	0	.00	-	 < 0.01	1.00E00	1.00E00
female meiotic nuclear division (GO:0007143)	31	0	.00	-	 < 0.01	1.00E00	1.00E00
male meiosis I (GO:0007141)	24	0	.00	-	 < 0.01	1.00E00	1.00E00
male meiotic nuclear division (GO:0007140)	48	0	.00	-	 < 0.01	1.00E00	1.00E00
specification of posterior mesonephric tubule identity (GO:0072169)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
specification of anterior mesonephric tubule identity (GO:0072168)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of cellular response to X-ray (GO:2000685)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
specification of mesonephric tubule identity (GO:0072167)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
posterior mesonephric tubule development (GO:0072166)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of cellular response to X-ray (GO:2000683)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
neural plate morphogenesis (GO:0001839)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
anterior mesonephric tubule development (GO:0072165)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
embryonic epithelial tube formation (GO:0001838)	127	0	.01	-	 < 0.01	1.00E00	1.00E00
mesonephric tubule development (GO:0072164)	85	0	.01	-	 < 0.01	1.00E00	1.00E00
epithelial to mesenchymal transition (GO:0001837)	68	0	.01	-	 < 0.01	1.00E00	1.00E00
mesonephric epithelium development (GO:0072163)	85	0	.01	-	 < 0.01	1.00E00	1.00E00
release of cytochrome c from mitochondria (GO:0001836)	22	0	.00	-	 < 0.01	1.00E00	1.00E00
male somatic sex determination (GO:0019102)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
metanephric mesenchymal cell differentiation (GO:0072162)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
blastocyst hatching (GO:0001835)	28	0	.00	-	 < 0.01	1.00E00	1.00E00
female somatic sex determination (GO:0019101)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
mesenchymal cell differentiation involved in kidney development (GO:0072161)	8	0	.00	-	 < 0.01	1.00E00	1.00E00
trophectodermal cell proliferation (GO:0001834)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
male germ-line sex determination (GO:0019100)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
nephron tubule epithelial cell differentiation (GO:0072160)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
inner cell mass cell proliferation (GO:0001833)	14	0	.00	-	 < 0.01	1.00E00	1.00E00
blastocyst growth (GO:0001832)	19	0	.00	-	 < 0.01	1.00E00	1.00E00
trophectodermal cellular morphogenesis (GO:0001831)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
cloacal septation (GO:0060197)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
meiosis II (GO:0007135)	10	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of lipase activity (GO:0060193)	73	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of lipase activity (GO:0060192)	17	0	.00	-	 < 0.01	1.00E00	1.00E00
reciprocal meiotic recombination (GO:0007131)	51	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of lipase activity (GO:0060191)	97	0	.01	-	 < 0.01	1.00E00	1.00E00
synaptonemal complex assembly (GO:0007130)	21	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of transcription regulatory region DNA binding (GO:2000679)	25	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of transcription regulatory region DNA binding (GO:2000678)	22	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of transcription regulatory region DNA binding (GO:2000677)	53	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of type B pancreatic cell apoptotic process (GO:2000676)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
distal tubule morphogenesis (GO:0072156)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
trophectodermal cell differentiation (GO:0001829)	16	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of motor neuron apoptotic process (GO:2000672)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
inner cell mass cellular morphogenesis (GO:0001828)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of motor neuron apoptotic process (GO:2000671)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
inner cell mass cell fate commitment (GO:0001827)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of dendritic cell apoptotic process (GO:2000670)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
inner cell mass cell differentiation (GO:0001826)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
blastocyst formation (GO:0001825)	40	0	.00	-	 < 0.01	1.00E00	1.00E00
blastocyst development (GO:0001824)	104	0	.01	-	 < 0.01	1.00E00	1.00E00
mesonephros development (GO:0001823)	89	0	.01	-	 < 0.01	1.00E00	1.00E00
synapsis (GO:0007129)	48	0	.00	-	 < 0.01	1.00E00	1.00E00
kidney development (GO:0001822)	269	0	.03	-	 < 0.01	1.00E00	1.00E00
histamine secretion (GO:0001821)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
meiosis I (GO:0007127)	110	0	.01	-	 < 0.01	1.00E00	1.00E00
serotonin secretion (GO:0001820)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
cell cycle switching (GO:0060184)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
apelin receptor signaling pathway (GO:0060183)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
response to host immune response (GO:0052572)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
female mating behavior (GO:0060180)	9	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of dendritic cell apoptotic process (GO:2000669)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of dendritic cell apoptotic process (GO:2000668)	10	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of interleukin-13 secretion (GO:2000667)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
cell part morphogenesis (GO:0032990)	524	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of interleukin-13 secretion (GO:2000666)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
epithelial cell fate commitment (GO:0072148)	14	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of interleukin-13 secretion (GO:2000665)	10	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of interleukin-5 secretion (GO:2000664)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of interleukin-5 secretion (GO:2000663)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of cytokine production (GO:0001819)	462	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of interleukin-5 secretion (GO:2000662)	8	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of cytokine production (GO:0001818)	276	0	.03	-	 < 0.01	1.00E00	1.00E00
glomerular mesangial cell development (GO:0072144)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of interleukin-1-mediated signaling pathway (GO:2000661)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of cytokine production (GO:0001817)	711	0	.07	-	 < 0.01	1.00E00	1.00E00
mesangial cell development (GO:0072143)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of interleukin-1-mediated signaling pathway (GO:2000660)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
cytokine production (GO:0001816)	158	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of antibody-dependent cellular cytotoxicity (GO:0001815)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
