




Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	GO Ontology database  Released 2019-10-08
Analyzed List:	GCST005047mapped.txt (Homo sapiens)	There are duplicate IDs in the file. The unique set of IDs will be used.
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	Homo sapiens - REFLIST (20996)	GCST005047mapped.txt (33)	GCST005047mapped.txt (expected)	GCST005047mapped.txt (over/under)	GCST005047mapped.txt (fold Enrichment)	GCST005047mapped.txt (raw P-value)	GCST005047mapped.txt (FDR)
UDP-glucose 6-dehydrogenase activity (GO:0003979)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
UDP-glucose 4-epimerase activity (GO:0003978)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
UDP-N-acetylglucosamine diphosphorylase activity (GO:0003977)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
UDP-N-acetylglucosamine-lysosomal-enzyme N-acetylglucosaminephosphotransferase activity (GO:0003976)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
UDP-N-acetylglucosamine-dolichyl-phosphate N-acetylglucosaminephosphotransferase activity (GO:0003975)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
alpha-(1,2)-fucosyltransferase activity (GO:0031127)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
dehydroascorbic acid transmembrane transporter activity (GO:0033300)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
UDP-N-acetylglucosamine 4-epimerase activity (GO:0003974)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
(S)-2-hydroxy-acid oxidase activity (GO:0003973)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
RNA ligase (ATP) activity (GO:0003972)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
hexosaminidase activity (GO:0015929)	15	0	.02	-	 < 0.01	1.00E00	1.00E00
fucosidase activity (GO:0015928)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
polymeric immunoglobulin receptor activity (GO:0001792)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
trehalase activity (GO:0015927)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
IgM binding (GO:0001791)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
glucosidase activity (GO:0015926)	15	0	.02	-	 < 0.01	1.00E00	1.00E00
galactosidase activity (GO:0015925)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
aspartate oxidase activity (GO:0015922)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
RNA-directed 5'-3' RNA polymerase activity (GO:0003968)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
RNA-directed DNA polymerase activity (GO:0003964)	17	0	.03	-	 < 0.01	1.00E00	1.00E00
RNA-3'-phosphate cyclase activity (GO:0003963)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
NADPH:quinone reductase activity (GO:0003960)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphatidylserine binding (GO:0001786)	56	0	.09	-	 < 0.01	1.00E00	1.00E00
prostaglandin J receptor activity (GO:0001785)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphotyrosine residue binding (GO:0001784)	40	0	.06	-	 < 0.01	1.00E00	1.00E00
large conductance calcium-activated potassium channel activity (GO:0060072)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
RNA polymerase activity (GO:0097747)	45	0	.07	-	 < 0.01	1.00E00	1.00E00
steryl-beta-glucosidase activity (GO:0050295)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
steroid sulfotransferase activity (GO:0050294)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
sphingosine N-acyltransferase activity (GO:0050291)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
sphingomyelin phosphodiesterase D activity (GO:0050290)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
NADPH-hemoprotein reductase activity (GO:0003958)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
NAD(P)+ transhydrogenase (B-specific) activity (GO:0003957)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
NAD(P)+-protein-arginine ADP-ribosyltransferase activity (GO:0003956)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
NAD(P)H dehydrogenase (quinone) activity (GO:0003955)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
NADH dehydrogenase activity (GO:0003954)	47	0	.07	-	 < 0.01	1.00E00	1.00E00
NAD+ nucleosidase activity (GO:0003953)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
NAD+ synthase (glutamine-hydrolyzing) activity (GO:0003952)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
NAD+ ADP-ribosyltransferase activity (GO:0003950)	24	0	.04	-	 < 0.01	1.00E00	1.00E00
N4-(beta-N-acetylglucosaminyl)-L-asparaginase activity (GO:0003948)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
(N-acetylneuraminyl)-galactosylglucosylceramide N-acetylgalactosaminyltransferase activity (GO:0003947)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
N-acetyllactosamine synthase activity (GO:0003945)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase activity (GO:0003944)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
N-acetylgalactosamine-4-sulfatase activity (GO:0003943)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
L-serine ammonia-lyase activity (GO:0003941)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
L-iduronidase activity (GO:0003940)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
aminocarboxymuconate-semialdehyde decarboxylase activity (GO:0001760)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
LEM domain binding (GO:0097726)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
sedoheptulokinase activity (GO:0050277)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
protein-fructosamine 3-kinase activity (GO:0102194)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein-ribulosamine 3-kinase activity (GO:0102193)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
L-iditol 2-dehydrogenase activity (GO:0003939)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
IMP dehydrogenase activity (GO:0003938)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
IMP cyclohydrolase activity (GO:0003937)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
GTP cyclohydrolase I activity (GO:0003934)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
GTP cyclohydrolase activity (GO:0003933)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
palmitoyl-CoA 9-desaturase activity (GO:0032896)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
retinal dehydrogenase activity (GO:0001758)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
neuropilin binding (GO:0038191)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
disordered domain specific binding (GO:0097718)	39	0	.06	-	 < 0.01	1.00E00	1.00E00
RNA uridylyltransferase activity (GO:0050265)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
GDP binding (GO:0019003)	75	0	.12	-	 < 0.01	1.00E00	1.00E00
GMP binding (GO:0019002)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
ribosylnicotinamide kinase activity (GO:0050262)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
guanyl nucleotide binding (GO:0019001)	408	0	.64	-	 < 0.01	1.00E00	1.00E00
GTPase activity (GO:0003924)	332	0	.52	-	 < 0.01	1.00E00	1.00E00
pattern recognition receptor activity (GO:0038187)	22	0	.03	-	 < 0.01	1.00E00	1.00E00
GPI-anchor transamidase activity (GO:0003923)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
lithocholic acid receptor activity (GO:0038186)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
GMP synthase (glutamine-hydrolyzing) activity (GO:0003922)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
GMP synthase activity (GO:0003921)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
GMP reductase activity (GO:0003920)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
G protein-coupled bile acid receptor activity (GO:0038182)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
bile acid receptor activity (GO:0038181)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
ribitol 2-dehydrogenase activity (GO:0050255)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
rhodopsin kinase activity (GO:0050254)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
MHC class II protein binding, via antigen binding groove (GO:0042658)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
retinyl-palmitate esterase activity (GO:0050253)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
retinol O-fatty-acyltransferase activity (GO:0050252)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
retinol isomerase activity (GO:0050251)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
FMN adenylyltransferase activity (GO:0003919)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity (GO:0003918)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
DNA topoisomerase type I (single strand cut, ATP-independent) activity (GO:0003917)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA topoisomerase activity (GO:0003916)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
death receptor agonist activity (GO:0038177)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
DNA nucleotidylexotransferase activity (GO:0003912)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
DNA ligase (ATP) activity (GO:0003910)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
prenylcysteine oxidase activity (GO:0001735)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
mRNA (N6-adenosine)-methyltransferase activity (GO:0001734)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
galactosylceramide sulfotransferase activity (GO:0001733)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
S-adenosylmethionine-dependent tRNA (m5U54) methyltransferase activity (GO:0030697)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
tRNA (m5U54) methyltransferase activity (GO:0030696)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
2'-5'-oligoadenylate synthetase activity (GO:0001730)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
[protein]-3-O-(N-acetyl-D-glucosaminyl)-L-serine O-N-acetyl-alpha-D-glucosaminase activity (GO:0102167)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
[protein]-3-O-(N-acetyl-D-glucosaminyl)-L-threonine O-N-acetyl-alpha-D-glucosaminase activity (GO:0102166)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
DNA ligase activity (GO:0003909)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
methylated-DNA-[protein]-cysteine S-methyltransferase activity (GO:0003908)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
DNA-(apurinic or apyrimidinic site) endonuclease activity (GO:0003906)	13	0	.02	-	 < 0.01	1.00E00	1.00E00
alkylbase DNA N-glycosylase activity (GO:0003905)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ceramide kinase activity (GO:0001729)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
thrombopoietin receptor activity (GO:0038164)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
lipid kinase activity (GO:0001727)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
very-long-chain 3-hydroxyacyl-CoA dehydratase activity (GO:0102158)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
L-amino-acid oxidase activity (GO:0001716)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
plus-end directed microfilament motor activity (GO:0060002)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
Rac guanyl-nucleotide exchange factor activity (GO:0030676)	17	0	.03	-	 < 0.01	1.00E00	1.00E00
minus-end directed microfilament motor activity (GO:0060001)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
N-acetyl-beta-D-galactosaminidase activity (GO:0102148)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
ATPase-coupled transmembrane transporter activity (GO:0042626)	107	0	.17	-	 < 0.01	1.00E00	1.00E00
prostaglandin-E2 9-reductase activity (GO:0050221)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ATPase-coupled ion transmembrane transporter activity (GO:0042625)	59	0	.09	-	 < 0.01	1.00E00	1.00E00
prostaglandin-E synthase activity (GO:0050220)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
ATPase activity, coupled (GO:0042623)	293	0	.46	-	 < 0.01	1.00E00	1.00E00
C-X-C motif chemokine 12 receptor activity (GO:0038147)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
calcitonin binding (GO:0032841)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
propionate-CoA ligase activity (GO:0050218)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
procollagen galactosyltransferase activity (GO:0050211)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
3-oxo-pimeloyl-[acp] methyl ester reductase activity (GO:0102132)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
3-oxo-glutaryl-[acp] methyl ester reductase activity (GO:0102131)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
fluorene oxygenase activity (GO:0018585)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
CD8 receptor binding (GO:0042610)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
cyclic pyranopterin monophosphate synthase activity (GO:0061799)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
GTP 3',8'-cyclase activity (GO:0061798)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
neuregulin binding (GO:0038132)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
pH-gated chloride channel activity (GO:0061797)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
neuregulin receptor activity (GO:0038131)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
CD4 receptor binding (GO:0042609)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
T cell receptor binding (GO:0042608)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
fucokinase activity (GO:0050201)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
peptide antigen binding (GO:0042605)	31	0	.05	-	 < 0.01	1.00E00	1.00E00
UFM1 transferase activity (GO:0071568)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
UFM1 hydrolase activity (GO:0071567)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
riboflavin reductase (NADPH) activity (GO:0042602)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
UFM1 activating enzyme activity (GO:0071566)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ceramidase activity (GO:0102121)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
beta-aspartyl-peptidase activity (GO:0008798)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
bis(5'-nucleosyl)-tetraphosphatase activity (GO:0008796)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
C-C motif chemokine 21 receptor activity (GO:0038121)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
arsenate reductase (glutaredoxin) activity (GO:0008794)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
peptidoglycan muralytic activity (GO:0061783)	13	0	.02	-	 < 0.01	1.00E00	1.00E00
arginine decarboxylase activity (GO:0008792)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
laurate hydroxylase activity (GO:0102116)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
histone demethylase activity (H3-K27 specific) (GO:0071558)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
hypoxia-inducible factor-asparagine oxygenase activity (GO:0102113)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
G protein-coupled pyrimidinergic nucleotide receptor activity (GO:0071553)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
C-C motif chemokine 19 receptor activity (GO:0038117)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
intracellular chloride channel activity (GO:0061778)	16	0	.03	-	 < 0.01	1.00E00	1.00E00
tumor necrosis factor receptor superfamily binding (GO:0032813)	47	0	.07	-	 < 0.01	1.00E00	1.00E00
alkyl hydroperoxide reductase activity (GO:0008785)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
sterol response element binding (GO:0032810)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
agmatinase activity (GO:0008783)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
N-acylneuraminate cytidylyltransferase activity (GO:0008781)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
translation elongation factor binding (GO:0061770)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein carboxyl O-methyltransferase activity (GO:0051998)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
squalene synthase activity (GO:0051996)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
(R)-2-hydroxyglutarate dehydrogenase activity (GO:0051990)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
homocarnosine synthase activity (GO:0102102)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
choriogonadotropin hormone binding (GO:0038106)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ribosylnicotinate kinase activity (GO:0061769)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
magnesium:sodium antiporter activity (GO:0061768)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
activin receptor antagonist activity (GO:0038102)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
U6 snRNA 3'-end binding (GO:0030629)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
acetate CoA-transferase activity (GO:0008775)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
pre-mRNA 3'-splice site binding (GO:0030628)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
nodal binding (GO:0038100)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
pre-mRNA 5'-splice site binding (GO:0030627)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
U12 snRNA binding (GO:0030626)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
U6atac snRNA binding (GO:0030624)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
U5 snRNA binding (GO:0030623)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
U4atac snRNA binding (GO:0030622)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
U4 snRNA binding (GO:0030621)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
U2 snRNA binding (GO:0030620)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
methanethiol oxidase activity (GO:0018549)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
RING-like zinc finger domain binding (GO:0071535)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
ankyrin repeat binding (GO:0071532)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
UDP-sugar diphosphatase activity (GO:0008768)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
activin receptor activity, type II (GO:0016362)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
activin receptor activity, type I (GO:0016361)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
U1 snRNA binding (GO:0030619)	10	0	.02	-	 < 0.01	1.00E00	1.00E00
transforming growth factor beta receptor, pathway-specific cytoplasmic mediator activity (GO:0030618)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
transforming growth factor beta receptor, inhibitory cytoplasmic mediator activity (GO:0030617)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
transforming growth factor beta receptor, common-partner cytoplasmic mediator activity (GO:0030616)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
telomeric repeat-containing RNA binding (GO:0061752)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
UDP-N-acetylglucosamine 2-epimerase activity (GO:0008761)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on phosphorus or arsenic in donors, disulfide as acceptor (GO:0030614)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
neutral sphingomyelin phosphodiesterase activity (GO:0061751)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on phosphorus or arsenic in donors (GO:0030613)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
acid sphingomyelin phosphodiesterase activity (GO:0061750)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
arsenate reductase activity (GO:0030611)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
lysophospholipid:sodium symporter activity (GO:0051978)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
calcium-independent phospholipase A2 activity (GO:0047499)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
calcium-dependent phospholipase A2 activity (GO:0047498)	16	0	.03	-	 < 0.01	1.00E00	1.00E00
ceramide cholinephosphotransferase activity (GO:0047493)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
forked DNA-dependent helicase activity (GO:0061749)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
S-adenosylmethionine-dependent methyltransferase activity (GO:0008757)	158	0	.25	-	 < 0.01	1.00E00	1.00E00
NADPH dehydrogenase (quinone) activity (GO:0008753)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
histidine decarboxylase activity (GO:0004398)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
histidine ammonia-lyase activity (GO:0004397)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
hexokinase activity (GO:0004396)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
hexaprenyldihydroxybenzoate methyltransferase activity (GO:0004395)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
heparan sulfate 2-O-sulfotransferase activity (GO:0004394)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
heme oxygenase (decyclizing) activity (GO:0004392)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
protein N-terminus binding (GO:0047485)	111	0	.17	-	 < 0.01	1.00E00	1.00E00
N-acetylneuraminate lyase activity (GO:0008747)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
NAD(P)+ transhydrogenase activity (GO:0008746)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
N-acetylmuramoyl-L-alanine amidase activity (GO:0008745)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
L-threonine 3-dehydrogenase activity (GO:0008743)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
peptide-lysine-N-acetyltransferase activity (GO:0061733)	67	0	.11	-	 < 0.01	1.00E00	1.00E00
ribonucleoside-diphosphate reductase activity (GO:0061731)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
dynein light intermediate chain binding (GO:0051959)	29	0	.05	-	 < 0.01	1.00E00	1.00E00
helicase activity (GO:0004386)	160	0	.25	-	 < 0.01	1.00E00	1.00E00
coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway (GO:1904929)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
guanylate kinase activity (GO:0004385)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
coreceptor activity involved in canonical Wnt signaling pathway (GO:1904928)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
guanylate cyclase activity (GO:0004383)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
gap junction hemi-channel activity (GO:0055077)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
guanosine-diphosphatase activity (GO:0004382)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
fucosylgalactoside 3-alpha-galactosyltransferase activity (GO:0004381)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glycoprotein-fucosylgalactoside alpha-N-acetylgalactosaminyltransferase activity (GO:0004380)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
alpha-catenin binding (GO:0045294)	11	0	.02	-	 < 0.01	1.00E00	1.00E00
L-allo-threonine aldolase activity (GO:0008732)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
glycylpeptide N-tetradecanoyltransferase activity (GO:0004379)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
GDP-Man:Man1GlcNAc2-PP-Dol alpha-1,3-mannosyltransferase activity (GO:0004378)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
GDP-Man:Man3GlcNAc2-PP-Dol alpha-1,2-mannosyltransferase activity (GO:0004377)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glycolipid mannosyltransferase activity (GO:0004376)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
glycine dehydrogenase (decarboxylating) activity (GO:0004375)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glycogen (starch) synthase activity (GO:0004373)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
glycine hydroxymethyltransferase activity (GO:0004372)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
glycerone kinase activity (GO:0004371)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glycerol kinase activity (GO:0004370)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
Ser-tRNA(Ala) hydrolase activity (GO:0002196)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
heparosan-N-sulfate-glucuronate 5-epimerase activity (GO:0047464)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
DNA-3-methyladenine glycosylase activity (GO:0008725)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
folic acid receptor activity (GO:0061714)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
D-serine ammonia-lyase activity (GO:0008721)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
N(6)-L-threonylcarbamoyladenine synthase activity (GO:0061711)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
D-lactate dehydrogenase activity (GO:0008720)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glycerol-3-phosphate dehydrogenase (quinone) activity (GO:0004368)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
glycerol-3-phosphate dehydrogenase [NAD+] activity (GO:0004367)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
glycerol-3-phosphate O-acyltransferase activity (GO:0004366)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity (GO:0004365)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
glutathione transferase activity (GO:0004364)	28	0	.04	-	 < 0.01	1.00E00	1.00E00
glutathione synthase activity (GO:0004363)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
D-glucose transmembrane transporter activity (GO:0055056)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
glutathione-disulfide reductase activity (GO:0004362)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glutaryl-CoA dehydrogenase activity (GO:0004361)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glutamine-fructose-6-phosphate transaminase (isomerizing) activity (GO:0004360)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol-3,4-bisphosphate 4-phosphatase activity (GO:0016316)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
ATP-dependent NAD(P)H-hydrate dehydratase activity (GO:0047453)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase activity (GO:0016314)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
3-hydroxyoctanoyl-[acyl-carrier-protein] dehydratase activity (GO:0047451)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
inositol bisphosphate phosphatase activity (GO:0016312)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
cAMP response element binding (GO:0035497)	14	0	.02	-	 < 0.01	1.00E00	1.00E00
glutaminase activity (GO:0004359)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
glutamate-cysteine ligase activity (GO:0004357)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
glutamate-ammonia ligase activity (GO:0004356)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
