




Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	Reactome version 65 Released 2019-03-12
Analyzed List:	GCST007847reported.txt (Homo sapiens)	There are duplicate IDs in the file. The unique set of IDs will be used.
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
Reactome pathways	Homo sapiens - REFLIST (20996)	GCST007847reported.txt (110)	GCST007847reported.txt (expected)	GCST007847reported.txt (over/under)	GCST007847reported.txt (fold Enrichment)	GCST007847reported.txt (raw P-value)	GCST007847reported.txt (FDR)
Inhibition of replication initiation of damaged DNA by RB1/E2F1 (R-HSA-113501)	13	0	.07	-	 < 0.01	1.00E00	1.00E00
Plasma lipoprotein assembly, remodeling, and clearance (R-HSA-174824)	67	0	.35	-	 < 0.01	1.00E00	1.00E00
Interleukin-15 signaling (R-HSA-8983432)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
Reverse Transcription of HIV RNA (R-HSA-162589)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Formation of the cornified envelope (R-HSA-6809371)	129	0	.68	-	 < 0.01	1.00E00	1.00E00
Vitamins B6 activation to pyridoxal phosphate (R-HSA-964975)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
Termination of O-glycan biosynthesis (R-HSA-977068)	26	0	.14	-	 < 0.01	1.00E00	1.00E00
Budding and maturation of HIV virion (R-HSA-162588)	28	0	.15	-	 < 0.01	1.00E00	1.00E00
Acyl chain remodelling of PC (R-HSA-1482788)	27	0	.14	-	 < 0.01	1.00E00	1.00E00
HIV Life Cycle (R-HSA-162587)	148	0	.78	-	 < 0.01	1.00E00	1.00E00
Carnitine synthesis (R-HSA-71262)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
Uncoating of the HIV Virion (R-HSA-162585)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Alternative complement activation (R-HSA-173736)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
Activated NOTCH1 Transmits Signal to the Nucleus (R-HSA-2122948)	31	0	.16	-	 < 0.01	1.00E00	1.00E00
SOS-mediated signalling (R-HSA-112412)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
MAPK1 (ERK2) activation (R-HSA-112411)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
PI3K events in ERBB2 signaling (R-HSA-1963642)	13	0	.07	-	 < 0.01	1.00E00	1.00E00
RAF activation (R-HSA-5673000)	24	0	.13	-	 < 0.01	1.00E00	1.00E00
Metabolism of porphyrins (R-HSA-189445)	17	0	.09	-	 < 0.01	1.00E00	1.00E00
GRB2 events in ERBB2 signaling (R-HSA-1963640)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
RUNX3 regulates p14-ARF (R-HSA-8951936)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
Cilium Assembly (R-HSA-5617833)	200	0	1.05	-	 < 0.01	6.30E-01	1.00E00
Threonine catabolism (R-HSA-8849175)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
Chylomicron clearance (R-HSA-8964026)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
Synthesis of IPs in the ER lumen (R-HSA-1855231)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Vpr-mediated induction of apoptosis by mitochondrial outer membrane permeabilization (R-HSA-180897)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
Interleukin-12 family signaling (R-HSA-447115)	57	0	.30	-	 < 0.01	1.00E00	1.00E00
Defective GCLC causes Hemolytic anemia due to gamma-glutamylcysteine synthetase deficiency (HAGGSD) (R-HSA-5578999)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Defective OPLAH causes 5-oxoprolinase deficiency (OPLAHD) (R-HSA-5578998)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Defective AHCY causes Hypermethioninemia with S-adenosylhomocysteine hydrolase deficiency (HMAHCHD) (R-HSA-5578997)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Defective CYP27A1 causes Cerebrotendinous xanthomatosis (CTX) (R-HSA-5578996)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Biosynthesis of E-series 18(S)-resolvins (R-HSA-9018896)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
Defective TPMT causes Thiopurine S-methyltransferase deficiency (TPMT deficiency) (R-HSA-5578995)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Regulation of cytoskeletal remodeling and cell spreading by IPP complex components (R-HSA-446388)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
O-linked glycosylation of mucins (R-HSA-913709)	65	0	.34	-	 < 0.01	1.00E00	1.00E00
Metal sequestration by antimicrobial proteins (R-HSA-6799990)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
Translesion synthesis by POLI (R-HSA-5656121)	17	0	.09	-	 < 0.01	1.00E00	1.00E00
Bile acid and bile salt metabolism (R-HSA-194068)	42	0	.22	-	 < 0.01	1.00E00	1.00E00
Transport of nucleotide sugars (R-HSA-727802)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
RUNX1 regulates transcription of genes involved in WNT signaling (R-HSA-8939256)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
RNA Polymerase III Chain Elongation (R-HSA-73780)	18	0	.09	-	 < 0.01	1.00E00	1.00E00
RNA Polymerase II Transcription Elongation (R-HSA-75955)	61	0	.32	-	 < 0.01	1.00E00	1.00E00
HDL clearance (R-HSA-8964011)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
Formation of the ternary complex, and subsequently, the 43S complex (R-HSA-72695)	51	0	.27	-	 < 0.01	1.00E00	1.00E00
RNA Polymerase II Transcription Initiation (R-HSA-75953)	47	0	.25	-	 < 0.01	1.00E00	1.00E00
RUNX3 regulates NOTCH signaling (R-HSA-8941856)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
Essential fructosuria (R-HSA-5657562)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
RUNX3 regulates CDKN1A transcription (R-HSA-8941855)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
HDR through Homologous Recombination (HRR) (R-HSA-5685942)	66	0	.35	-	 < 0.01	1.00E00	1.00E00
Hereditary fructose intolerance (R-HSA-5657560)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Interleukin-9 signaling (R-HSA-8985947)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
Signalling to ERK5 (R-HSA-198765)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Tryptophan catabolism (R-HSA-71240)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
PERK regulates gene expression (R-HSA-381042)	28	0	.15	-	 < 0.01	1.00E00	1.00E00
Defective SLC6A19 causes Hartnup disorder (HND) (R-HSA-5659735)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA Polymerase II Transcription Pre-Initiation And Promoter Opening (R-HSA-73779)	47	0	.25	-	 < 0.01	1.00E00	1.00E00
RNA Polymerase I Chain Elongation (R-HSA-73777)	59	0	.31	-	 < 0.01	1.00E00	1.00E00
RNA Polymerase II Promoter Escape (R-HSA-73776)	47	0	.25	-	 < 0.01	1.00E00	1.00E00
InlB-mediated entry of Listeria monocytogenes into host cell (R-HSA-8875360)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
Eukaryotic Translation Elongation (R-HSA-156842)	94	0	.49	-	 < 0.01	1.00E00	1.00E00
IRAK4 deficiency (TLR2/4) (R-HSA-5603041)	11	0	.06	-	 < 0.01	1.00E00	1.00E00
RUNX1 regulates transcription of genes involved in interleukin signaling (R-HSA-8939247)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
RNA Polymerase I Promoter Escape (R-HSA-73772)	30	0	.16	-	 < 0.01	1.00E00	1.00E00
Glycogen storage disease type II (GAA) (R-HSA-5357609)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
RUNX1 regulates transcription of genes involved in differentiation of myeloid cells (R-HSA-8939246)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
RUNX1 regulates transcription of genes involved in BCR signaling (R-HSA-8939245)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
Nectin/Necl  trans heterodimerization (R-HSA-420597)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
Formation of a pool of free 40S subunits (R-HSA-72689)	101	0	.53	-	 < 0.01	1.00E00	1.00E00
RUNX3 regulates RUNX1-mediated transcription (R-HSA-8951911)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
RUNX1 regulates transcription of genes involved in differentiation of keratinocytes (R-HSA-8939242)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
RA biosynthesis pathway (R-HSA-5365859)	22	0	.12	-	 < 0.01	1.00E00	1.00E00
Transcription from mitochondrial promoters (R-HSA-75944)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
ECM proteoglycans (R-HSA-3000178)	76	0	.40	-	 < 0.01	1.00E00	1.00E00
MicroRNA (miRNA) biogenesis (R-HSA-203927)	24	0	.13	-	 < 0.01	1.00E00	1.00E00
Estrogen-dependent gene expression (R-HSA-9018519)	118	0	.62	-	 < 0.01	1.00E00	1.00E00
HDR through MMEJ (alt-NHEJ) (R-HSA-5685939)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
HDR through Single Strand Annealing (SSA) (R-HSA-5685938)	37	0	.19	-	 < 0.01	1.00E00	1.00E00
Non-integrin membrane-ECM interactions (R-HSA-3000171)	59	0	.31	-	 < 0.01	1.00E00	1.00E00
Fertilization (R-HSA-1187000)	26	0	.14	-	 < 0.01	1.00E00	1.00E00
Syndecan interactions (R-HSA-3000170)	27	0	.14	-	 < 0.01	1.00E00	1.00E00
IL-6-type cytokine receptor ligand interactions (R-HSA-6788467)	17	0	.09	-	 < 0.01	1.00E00	1.00E00
Processing of SMDT1 (R-HSA-8949664)	16	0	.08	-	 < 0.01	1.00E00	1.00E00
Defective SLC6A18 may confer susceptibility to iminoglycinuria and/or hyperglycinuria (R-HSA-5659729)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Biosynthesis of protectin and resolvin conjugates in tissue regeneration (PCTR and RCTR) (R-HSA-9026766)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Biosynthesis of DPAn-3-derived 13-series resolvins (R-HSA-9026403)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ATF6 (ATF6-alpha) activates chaperones (R-HSA-381033)	11	0	.06	-	 < 0.01	1.00E00	1.00E00
ERK/MAPK targets (R-HSA-198753)	22	0	.12	-	 < 0.01	1.00E00	1.00E00
IRAK4 deficiency (TLR5) (R-HSA-5603037)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
Collagen chain trimerization (R-HSA-8948216)	44	0	.23	-	 < 0.01	1.00E00	1.00E00
Biosynthesis of maresin conjugates in tissue regeneration (MCTR) (R-HSA-9026762)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Reelin signalling pathway (R-HSA-8866376)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
Loss of Function of FBXW7 in Cancer and NOTCH1 Signaling (R-HSA-2644607)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
Constitutive Signaling by NOTCH1 PEST Domain Mutants (R-HSA-2644606)	57	0	.30	-	 < 0.01	1.00E00	1.00E00
RNA Polymerase I Transcription Initiation (R-HSA-73762)	47	0	.25	-	 < 0.01	1.00E00	1.00E00
Signaling by Activin (R-HSA-1502540)	13	0	.07	-	 < 0.01	1.00E00	1.00E00
FBXW7 Mutants and NOTCH1 in Cancer (R-HSA-2644605)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
Synthesis of IP3 and IP4 in the cytosol (R-HSA-1855204)	26	0	.14	-	 < 0.01	1.00E00	1.00E00
Signaling by NOTCH1 in Cancer (R-HSA-2644603)	57	0	.30	-	 < 0.01	1.00E00	1.00E00
Signaling by NOTCH1 PEST Domain Mutants in Cancer (R-HSA-2644602)	57	0	.30	-	 < 0.01	1.00E00	1.00E00
Axonal growth stimulation (R-HSA-209563)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
TNFR1-induced NFkappaB signaling pathway (R-HSA-5357956)	30	0	.16	-	 < 0.01	1.00E00	1.00E00
NF-kB is activated and signals survival (R-HSA-209560)	13	0	.07	-	 < 0.01	1.00E00	1.00E00
Endosomal/Vacuolar pathway (R-HSA-1236977)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
rRNA processing (R-HSA-72312)	201	0	1.05	-	 < 0.01	6.30E-01	1.00E00
Cross-presentation of particulate exogenous antigens (phagosomes) (R-HSA-1236973)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
Role of phospholipids in phagocytosis (R-HSA-2029485)	88	0	.46	-	 < 0.01	1.00E00	1.00E00
Signalling to STAT3 (R-HSA-198745)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
Cell-extracellular matrix interactions (R-HSA-446353)	18	0	.09	-	 < 0.01	1.00E00	1.00E00
IkBA variant leads to EDA-ID (R-HSA-5603029)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
Regulation of actin dynamics for phagocytic cup formation (R-HSA-2029482)	123	0	.64	-	 < 0.01	1.00E00	1.00E00
L13a-mediated translational silencing of Ceruloplasmin expression (R-HSA-156827)	111	0	.58	-	 < 0.01	1.00E00	1.00E00
FCGR activation (R-HSA-2029481)	74	0	.39	-	 < 0.01	1.00E00	1.00E00
IKBKG deficiency causes anhidrotic ectodermal dysplasia with immunodeficiency (EDA-ID) (via TLR) (R-HSA-5603027)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
Fcgamma receptor (FCGR) dependent phagocytosis (R-HSA-2029480)	147	0	.77	-	 < 0.01	1.00E00	1.00E00
Defective AVP causes neurohypophyseal diabetes insipidus (NDI) (R-HSA-5619099)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
rRNA modification in the mitochondrion (R-HSA-6793080)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
Defective SLC2A2 causes Fanconi-Bickel syndrome (FBS) (R-HSA-5619098)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Defective SLC34A3 causes Hereditary hypophosphatemic rickets with hypercalciuria (HHRH) (R-HSA-5619097)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
TRAF3-dependent IRF activation pathway (R-HSA-918233)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
Defective SLC5A5 causes thyroid dyshormonogenesis 1 (TDH1) (R-HSA-5619096)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Defective SLCO2A1 causes primary, autosomal recessive hypertrophic osteoarthropathy 2 (PHOAR2) (R-HSA-5619095)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Variant SLC6A14 may confer susceptibility towards obesity (R-HSA-5619094)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
HSP90 chaperone cycle for steroid hormone receptors (SHR) (R-HSA-3371497)	56	0	.29	-	 < 0.01	1.00E00	1.00E00
Defective SLC9A6 causes  X-linked, syndromic mental retardation,, Christianson type (MRXSCH) (R-HSA-5619092)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Visual phototransduction (R-HSA-2187338)	97	0	.51	-	 < 0.01	1.00E00	1.00E00
FGFRL1 modulation of FGFR1 signaling (R-HSA-5658623)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
Conjugation of phenylacetate with glutamine (R-HSA-177162)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
RAS signaling downstream of NF1 loss-of-function variants (R-HSA-6802953)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
The retinoid cycle in cones (daylight vision) (R-HSA-2187335)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
Toll Like Receptor TLR6:TLR2 Cascade (R-HSA-168188)	94	0	.49	-	 < 0.01	1.00E00	1.00E00
Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S (R-HSA-72662)	59	0	.31	-	 < 0.01	1.00E00	1.00E00
ARL13B-mediated ciliary trafficking of INPP5E (R-HSA-5624958)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
PTEN Loss of Function in Cancer (R-HSA-5674404)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Toll Like Receptor 7/8 (TLR7/8) Cascade (R-HSA-168181)	92	0	.48	-	 < 0.01	1.00E00	1.00E00
Signaling by ERBB2 (R-HSA-1227986)	47	0	.25	-	 < 0.01	1.00E00	1.00E00
Constitutive Signaling by AKT1 E17K in Cancer (R-HSA-5674400)	24	0	.13	-	 < 0.01	1.00E00	1.00E00
Prolactin receptor signaling (R-HSA-1170546)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
Localization of the PINCH-ILK-PARVIN complex to focal adhesions (R-HSA-446343)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
Protein repair (R-HSA-5676934)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
Regulation by TREX1 (R-HSA-3248023)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Defective SLC6A5 causes hyperekplexia 3 (HKPX3) (R-HSA-5619089)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
WNT5A-dependent internalization of FZD4 (R-HSA-5099900)	15	0	.08	-	 < 0.01	1.00E00	1.00E00
Defective SLC39A4 causes acrodermatitis enteropathica, zinc-deficiency type (AEZ) (R-HSA-5619088)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Defective SLC12A3 causes Gitelman syndrome (GS) (R-HSA-5619087)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Centrosome maturation (R-HSA-380287)	80	0	.42	-	 < 0.01	1.00E00	1.00E00
Defective SLC26A3 causes congenital secretory chloride diarrhea 1 (DIAR1) (R-HSA-5619085)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
CaM pathway (R-HSA-111997)	26	0	.14	-	 < 0.01	1.00E00	1.00E00
Ca-dependent events (R-HSA-111996)	28	0	.15	-	 < 0.01	1.00E00	1.00E00
Defective SLC35A3 causes arthrogryposis, mental retardation, and seizures (AMRS) (R-HSA-5619083)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Loss of proteins required for interphase microtubule organization from the centrosome (R-HSA-380284)	68	0	.36	-	 < 0.01	1.00E00	1.00E00
phospho-PLA2 pathway (R-HSA-111995)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
p75NTR recruits signalling complexes (R-HSA-209543)	13	0	.07	-	 < 0.01	1.00E00	1.00E00
Defective SLC6A3 causes Parkinsonism-dystonia infantile (PKDYS) (R-HSA-5619081)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ESR-mediated signaling (R-HSA-8939211)	124	0	.65	-	 < 0.01	1.00E00	1.00E00
Toll Like Receptor TLR1:TLR2 Cascade (R-HSA-168179)	97	0	.51	-	 < 0.01	1.00E00	1.00E00
PKA activation (R-HSA-163615)	17	0	.09	-	 < 0.01	1.00E00	1.00E00
Toll Like Receptor 5 (TLR5) Cascade (R-HSA-168176)	84	0	.44	-	 < 0.01	1.00E00	1.00E00
Signal amplification (R-HSA-392518)	31	0	.16	-	 < 0.01	1.00E00	1.00E00
Nuclear Events (kinase and transcription factor activation) (R-HSA-198725)	25	0	.13	-	 < 0.01	1.00E00	1.00E00
Abacavir metabolism (R-HSA-2161541)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
Defective SLC6A18 may confer susceptibility to iminoglycinuria and/or hyperglycinuria (R-HSA-5619079)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Defective SLC35C1 causes congenital disorder of glycosylation 2C (CDG2C) (R-HSA-5619078)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Defective SLC24A1 causes congenital stationary night blindness 1D (CSNB1D) (R-HSA-5619077)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Defective SLC17A8 causes autosomal dominant deafness 25 (DFNA25) (R-HSA-5619076)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Phenylketonuria (R-HSA-2160456)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
PTK6 Activates STAT3 (R-HSA-8849474)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
PTK6 Expression (R-HSA-8849473)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
Defective SLC35A2 causes congenital disorder of glycosylation 2M (CDG2M) (R-HSA-5619072)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Translation initiation complex formation (R-HSA-72649)	58	0	.30	-	 < 0.01	1.00E00	1.00E00
PTK6 Down-Regulation (R-HSA-8849472)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
Defective SLC22A12 causes renal hypouricemia 1 (RHUC1) (R-HSA-5619071)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
PTK6 Regulates RHO GTPases, RAS GTPase and MAP kinases (R-HSA-8849471)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
Defective SLC16A1 causes symptomatic deficiency in lactate transport (SDLT) (R-HSA-5619070)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
PTK6 Regulates Cell Cycle (R-HSA-8849470)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
NCAM1 interactions (R-HSA-419037)	42	0	.22	-	 < 0.01	1.00E00	1.00E00
Recruitment of mitotic centrosome proteins and complexes (R-HSA-380270)	80	0	.42	-	 < 0.01	1.00E00	1.00E00
Fructose metabolism (R-HSA-5652084)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
Scavenging by Class H Receptors (R-HSA-3000497)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
Toll Like Receptor 3 (TLR3) Cascade (R-HSA-168164)	96	0	.50	-	 < 0.01	1.00E00	1.00E00
Adrenoceptors (R-HSA-390696)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
SUMOylation of DNA replication proteins (R-HSA-4615885)	42	0	.22	-	 < 0.01	1.00E00	1.00E00
RNA Polymerase I Promoter Opening (R-HSA-73728)	32	0	.17	-	 < 0.01	1.00E00	1.00E00
Defective SLC2A10 causes arterial tortuosity syndrome (ATS) (R-HSA-5619068)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
PTK6 Regulates Proteins Involved in RNA Processing (R-HSA-8849468)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
Defective SLC1A1 is implicated in schizophrenia 18 (SCZD18) and dicarboxylic aminoaciduria (DCBXA) (R-HSA-5619067)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Defective SLC22A18 causes lung cancer (LNCR) and embryonal rhabdomyosarcoma 1 (RMSE1) (R-HSA-5619066)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
SUMOylation of chromatin organization proteins (R-HSA-4551638)	52	0	.27	-	 < 0.01	1.00E00	1.00E00
Defective SLC29A3 causes histiocytosis-lymphadenopathy plus syndrome (HLAS) (R-HSA-5619063)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Defective SLC1A3 causes episodic ataxia 6 (EA6) (R-HSA-5619062)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Nuclear Envelope Reassembly (R-HSA-2995410)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
Conjugation of benzoate with glycine (R-HSA-177135)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
Glucocorticoid biosynthesis (R-HSA-194002)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
Defective SLC33A1 causes spastic paraplegia 42 (SPG42) (R-HSA-5619061)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Interaction With Cumulus Cells (R-HSA-2534343)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Defective CP causes aceruloplasminemia (ACERULOP) (R-HSA-5619060)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Signaling by FGFR3 in disease (R-HSA-5655332)	18	0	.09	-	 < 0.01	1.00E00	1.00E00
Scavenging by Class F Receptors (R-HSA-3000484)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
RHO GTPases Activate Formins (R-HSA-5663220)	135	0	.71	-	 < 0.01	1.00E00	1.00E00
Carboxyterminal post-translational modifications of tubulin (R-HSA-8955332)	42	0	.22	-	 < 0.01	1.00E00	1.00E00
Scavenging by Class A Receptors (R-HSA-3000480)	19	0	.10	-	 < 0.01	1.00E00	1.00E00
Cristae formation (R-HSA-8949613)	31	0	.16	-	 < 0.01	1.00E00	1.00E00
Serine biosynthesis (R-HSA-977347)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
Abacavir transport and metabolism (R-HSA-2161522)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
Defective ALG1 causes ALG1-CDG (CDG-1k) (R-HSA-4549380)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
NGF processing (R-HSA-167060)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
Defective SLCO1B3 causes hyperbilirubinemia, Rotor type (HBLRR) (R-HSA-5619058)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Activation of PUMA and translocation to mitochondria (R-HSA-139915)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
Loss of Nlp from mitotic centrosomes (R-HSA-380259)	68	0	.36	-	 < 0.01	1.00E00	1.00E00
Prostacyclin signalling through prostacyclin receptor (R-HSA-392851)	19	0	.10	-	 < 0.01	1.00E00	1.00E00
Defective HK1 causes hexokinase deficiency (HK deficiency) (R-HSA-5619056)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Nuclear signaling by ERBB4 (R-HSA-1251985)	25	0	.13	-	 < 0.01	1.00E00	1.00E00
Defective SLC24A4 causes hypomineralized amelogenesis imperfecta (AI) (R-HSA-5619055)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Conjugation of salicylate with glycine (R-HSA-177128)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
Defective SLC4A4 causes renal tubular acidosis, proximal, with ocular abnormalities and mental retardation (pRTA-OA) (R-HSA-5619054)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Defective SLC22A5 causes systemic primary carnitine deficiency (CDSP) (R-HSA-5619053)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Activation of BMF and translocation to mitochondria (R-HSA-139910)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
Defective SLC9A9 causes autism 16 (AUTS16) (R-HSA-5619052)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Defective SLC4A1 causes hereditary spherocytosis type 4 (HSP4),  distal renal tubular acidosis (dRTA) and dRTA with hemolytic anemia (dRTA-HA) (R-HSA-5619050)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Regulation of HSF1-mediated heat shock response (R-HSA-3371453)	67	0	.35	-	 < 0.01	1.00E00	1.00E00
CREB3 factors activate genes (R-HSA-8874211)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
Regulation of TNFR1 signaling (R-HSA-5357905)	32	0	.17	-	 < 0.01	1.00E00	1.00E00
Adrenaline,noradrenaline inhibits insulin secretion (R-HSA-400042)	28	0	.15	-	 < 0.01	1.00E00	1.00E00
RHO GTPases Activate WASPs and WAVEs (R-HSA-5663213)	35	0	.18	-	 < 0.01	1.00E00	1.00E00
Toll Like Receptor 10 (TLR10) Cascade (R-HSA-168142)	84	0	.44	-	 < 0.01	1.00E00	1.00E00
IRAK2 mediated activation of TAK1 complex upon TLR7/8 or 9 stimulation (R-HSA-975163)	16	0	.08	-	 < 0.01	1.00E00	1.00E00
Interactions of Tat with host cellular proteins (R-HSA-176034)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Scavenging by Class B Receptors (R-HSA-3000471)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
Interactions of Vpr with host cellular proteins (R-HSA-176033)	33	0	.17	-	 < 0.01	1.00E00	1.00E00
Defective GFPT1 causes CMSTA1 (R-HSA-4085023)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Abacavir transmembrane transport (R-HSA-2161517)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
