




Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	GO Ontology database  Released 2019-10-08
Analyzed List:	GCST007847reported.txt (Homo sapiens)	There are duplicate IDs in the file. The unique set of IDs will be used.
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Homo sapiens - REFLIST (20996)	GCST007847reported.txt (110)	GCST007847reported.txt (expected)	GCST007847reported.txt (over/under)	GCST007847reported.txt (fold Enrichment)	GCST007847reported.txt (raw P-value)	GCST007847reported.txt (FDR)
extrinsic component of postsynaptic endosome membrane (GO:0098999)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
protein complex involved in cell-matrix adhesion (GO:0098637)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
extrinsic component of postsynaptic early endosome membrane (GO:0098998)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
hippocampal mossy fiber expansion (GO:1990026)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
anchored component of synaptic vesicle membrane (GO:0098993)	13	0	.07	-	 < 0.01	1.00E00	1.00E00
mitotic spindle midzone (GO:1990023)	13	0	.07	-	 < 0.01	1.00E00	1.00E00
neuronal dense core vesicle (GO:0098992)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
macropinocytic cup (GO:0070685)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ciliary base (GO:0097546)	35	0	.18	-	 < 0.01	1.00E00	1.00E00
axonemal outer doublet (GO:0097545)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum-endosome membrane contact site (GO:0140284)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
ciliary inversin compartment (GO:0097543)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ciliary tip (GO:0097542)	46	0	.24	-	 < 0.01	1.00E00	1.00E00
aster (GO:0005818)	11	0	.06	-	 < 0.01	1.00E00	1.00E00
axonemal basal plate (GO:0097541)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
centriole (GO:0005814)	144	0	.75	-	 < 0.01	1.00E00	1.00E00
centrosome (GO:0005813)	592	0	3.10	-	 < 0.01	7.87E-02	1.00E00
transmembrane collagen trimer (GO:0030936)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
sheet-forming collagen trimer (GO:0030935)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
anchoring collagen complex (GO:0030934)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
NADPH oxidase complex (GO:0043020)	15	0	.08	-	 < 0.01	1.00E00	1.00E00
phagophore assembly site membrane (GO:0034045)	16	0	.08	-	 < 0.01	1.00E00	1.00E00
glucosidase II complex (GO:0017177)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
asymmetric, glutamatergic, excitatory synapse (GO:0098985)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
ensheathing process (GO:1990015)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
symmetric, GABA-ergic, inhibitory synapse (GO:0098983)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
GABA-ergic synapse (GO:0098982)	77	0	.40	-	 < 0.01	1.00E00	1.00E00
cholinergic synapse (GO:0098981)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
ciliary transition fiber (GO:0097539)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
phosphopyruvate hydratase complex (GO:0000015)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
pituitary gonadotropin complex (GO:0061696)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
transferase complex, transferring phosphorus-containing groups (GO:0061695)	268	0	1.40	-	 < 0.01	6.53E-01	1.00E00
cis-Golgi network (GO:0005801)	69	0	.36	-	 < 0.01	1.00E00	1.00E00
hexameric IgM immunoglobulin complex (GO:0071757)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
pentameric IgM immunoglobulin complex (GO:0071756)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
serine-type endopeptidase complex (GO:1905370)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
IgM immunoglobulin complex, circulating (GO:0071754)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
IgM immunoglobulin complex (GO:0071753)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
secretory dimeric IgA immunoglobulin complex (GO:0071752)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
neurosecretory vesicle (GO:1990008)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
secretory IgA immunoglobulin complex (GO:0071751)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
dimeric IgA immunoglobulin complex (GO:0071750)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
granular vesicle (GO:1990005)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum-plasma membrane contact site (GO:0140268)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
tricellular tight junction (GO:0061689)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
spliceosomal tri-snRNP complex (GO:0097526)	32	0	.17	-	 < 0.01	1.00E00	1.00E00
spliceosomal snRNP complex (GO:0097525)	62	0	.32	-	 < 0.01	1.00E00	1.00E00
sperm plasma membrane (GO:0097524)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
COP9 signalosome (GO:0008180)	36	0	.19	-	 < 0.01	1.00E00	1.00E00
BCOR complex (GO:0140261)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Smc5-Smc6 complex (GO:0030915)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
STAGA complex (GO:0030914)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
polymeric IgA immunoglobulin complex (GO:0071749)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
monomeric IgA immunoglobulin complex (GO:0071748)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
GTPase complex (GO:1905360)	32	0	.17	-	 < 0.01	1.00E00	1.00E00
IgA immunoglobulin complex, circulating (GO:0071746)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
IgA immunoglobulin complex (GO:0071745)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
Pwp2p-containing subcomplex of 90S preribosome (GO:0034388)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
perisynaptic extracellular matrix (GO:0098966)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
triglyceride-rich plasma lipoprotein particle (GO:0034385)	22	0	.12	-	 < 0.01	1.00E00	1.00E00
terminal web (GO:1990357)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
sumoylated E2 ligase complex (GO:1990356)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA recombinase complex (GO:0097519)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
nuclear RNA export factor complex (GO:0042272)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
contractile actin filament bundle (GO:0097517)	71	0	.37	-	 < 0.01	1.00E00	1.00E00
HAUS complex (GO:0070652)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
myosin II filament (GO:0097513)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
cardiac myofibril (GO:0097512)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
mitotic spindle astral microtubule (GO:0061673)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
eukaryotic 80S initiation complex (GO:0033291)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
eukaryotic 48S preinitiation complex (GO:0033290)	15	0	.08	-	 < 0.01	1.00E00	1.00E00
retromer, tubulation complex (GO:0030905)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
exoribonuclease complex (GO:1905354)	26	0	.14	-	 < 0.01	1.00E00	1.00E00
PRC1 complex (GO:0035102)	16	0	.08	-	 < 0.01	1.00E00	1.00E00
FACT complex (GO:0035101)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
lysosomal proton-transporting V-type ATPase complex (GO:0046611)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
intrinsic component of dense core granule membrane (GO:0098956)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
NMDA selective glutamate receptor complex (GO:0017146)	11	0	.06	-	 < 0.01	1.00E00	1.00E00
intrinsic component of spine apparatus membrane (GO:0098952)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
intrinsic component of postsynaptic recycling endosome membrane (GO:0098951)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
THO complex (GO:0000347)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
transcription export complex (GO:0000346)	15	0	.08	-	 < 0.01	1.00E00	1.00E00
Rad6-Rad18 complex (GO:0097505)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Gemini of coiled bodies (GO:0097504)	11	0	.06	-	 < 0.01	1.00E00	1.00E00
DNA polymerase processivity factor complex (GO:0044796)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
endonuclease complex (GO:1905348)	36	0	.19	-	 < 0.01	1.00E00	1.00E00
endodeoxyribonuclease complex (GO:1905347)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
intrinsic component of postsynaptic endosome membrane (GO:0098949)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
intrinsic component of postsynaptic specialization membrane (GO:0098948)	83	0	.43	-	 < 0.01	1.00E00	1.00E00
spherical high-density lipoprotein particle (GO:0034366)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
spindle midzone (GO:0051233)	34	0	.18	-	 < 0.01	1.00E00	1.00E00
discoidal high-density lipoprotein particle (GO:0034365)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
intrinsic component of presynaptic active zone membrane (GO:0098945)	20	0	.10	-	 < 0.01	1.00E00	1.00E00
high-density lipoprotein particle (GO:0034364)	28	0	.15	-	 < 0.01	1.00E00	1.00E00
intermediate-density lipoprotein particle (GO:0034363)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
postsynaptic recycling endosome membrane (GO:0098944)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
low-density lipoprotein particle (GO:0034362)	15	0	.08	-	 < 0.01	1.00E00	1.00E00
very-low-density lipoprotein particle (GO:0034361)	22	0	.12	-	 < 0.01	1.00E00	1.00E00
USH2 complex (GO:1990696)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
chylomicron remnant (GO:0034360)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Ire1 complex (GO:1990332)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
translation preinitiation complex (GO:0070993)	18	0	.09	-	 < 0.01	1.00E00	1.00E00
transcription factor TFTC complex (GO:0033276)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
translation initiation complex (GO:0070992)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
telomerase catalytic core complex (GO:0000333)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
paranode region of axon (GO:0033270)	13	0	.07	-	 < 0.01	1.00E00	1.00E00
clathrin-sculpted glutamate transport vesicle membrane (GO:0060203)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
clathrin-sculpted acetylcholine transport vesicle membrane (GO:0060201)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
clathrin-sculpted acetylcholine transport vesicle (GO:0060200)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
mature chylomicron (GO:0034359)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
plasma lipoprotein particle (GO:0034358)	38	0	.20	-	 < 0.01	1.00E00	1.00E00
photosynthetic membrane (GO:0034357)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
intrinsic component of postsynaptic membrane (GO:0098936)	130	0	.68	-	 < 0.01	1.00E00	1.00E00
platelet dense tubular network membrane (GO:0031095)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
immunological synapse (GO:0001772)	38	0	.20	-	 < 0.01	1.00E00	1.00E00
platelet dense tubular network (GO:0031094)	11	0	.06	-	 < 0.01	1.00E00	1.00E00
protein N-acetylglucosaminyltransferase complex (GO:0017122)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
platelet alpha granule membrane (GO:0031092)	17	0	.09	-	 < 0.01	1.00E00	1.00E00
internode region of axon (GO:0033269)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
transcription factor TFIIK complex (GO:0070985)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
node of Ranvier (GO:0033268)	15	0	.08	-	 < 0.01	1.00E00	1.00E00
CSF1-CSF1R complex (GO:1990682)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
zeta DNA polymerase complex (GO:0016035)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
endocytic patch (GO:0061645)	16	0	.08	-	 < 0.01	1.00E00	1.00E00
storage vacuole (GO:0000322)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
CORVET complex (GO:0033263)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
septin collar (GO:0032173)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Golgi transport complex (GO:0017119)	13	0	.07	-	 < 0.01	1.00E00	1.00E00
PAM complex, Tim23 associated import motor (GO:0001405)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
platelet dense granule lumen (GO:0031089)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
platelet dense granule membrane (GO:0031088)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
SAM complex (GO:0001401)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
lamellar body (GO:0042599)	17	0	.09	-	 < 0.01	1.00E00	1.00E00
Atg1/ULK1 kinase complex (GO:1990316)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
Grb2-Sos complex (GO:0070618)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
BLOC-3 complex (GO:0031085)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
BLOC-2 complex (GO:0031084)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
BLOC-1 complex (GO:0031083)	17	0	.09	-	 < 0.01	1.00E00	1.00E00
BLOC complex (GO:0031082)	22	0	.12	-	 < 0.01	1.00E00	1.00E00
Golgi cis cisterna membrane (GO:1990674)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
nuclear pore outer ring (GO:0031080)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
intrinsic component of endoplasmic reticulum-Golgi intermediate compartment (ERGIC) membrane (GO:1990673)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
organellar large ribosomal subunit (GO:0000315)	58	0	.30	-	 < 0.01	1.00E00	1.00E00
rhabdomere (GO:0016028)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Bcl3/NF-kappaB2 complex (GO:0033257)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
organellar small ribosomal subunit (GO:0000314)	29	0	.15	-	 < 0.01	1.00E00	1.00E00
I-kappaB/NF-kappaB complex (GO:0033256)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
organellar ribosome (GO:0000313)	90	0	.47	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum exit site (GO:0070971)	28	0	.15	-	 < 0.01	1.00E00	1.00E00
Derlin-1 retrotranslocation complex (GO:0036513)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
adrenomedullin receptor complex (GO:1903143)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
thylakoid (GO:0009579)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glutamate-cysteine ligase complex (GO:0017109)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
pore complex (GO:0046930)	23	0	.12	-	 < 0.01	1.00E00	1.00E00
zymogen granule membrane (GO:0042589)	11	0	.06	-	 < 0.01	1.00E00	1.00E00
zymogen granule (GO:0042588)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
PCSK9-AnxA2 complex (GO:1990667)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
nucleocytoplasmic transport complex (GO:0031074)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
glycogen granule (GO:0042587)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
U11/U12 snRNP (GO:0034693)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
PCSK9-LDLR complex (GO:1990666)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
aminoacyl-tRNA synthetase multienzyme complex (GO:0017101)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
germinal vesicle (GO:0042585)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
cytoplasmic cyclin-dependent protein kinase holoenzyme complex (GO:0000308)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
cyclin-dependent protein kinase holoenzyme complex (GO:0000307)	42	0	.22	-	 < 0.01	1.00E00	1.00E00
SWI/SNF superfamily-type complex (GO:0070603)	85	0	.45	-	 < 0.01	1.00E00	1.00E00
chromaffin granule membrane (GO:0042584)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
chromaffin granule (GO:0042583)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
extrinsic component of vacuolar membrane (GO:0000306)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
azurophil granule (GO:0042582)	154	0	.81	-	 < 0.01	1.00E00	1.00E00
specific granule (GO:0042581)	161	0	.84	-	 < 0.01	1.00E00	1.00E00
Derlin-1-VIMP complex (GO:0036502)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
UFD1-NPL4 complex (GO:0036501)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
syntrophin complex (GO:0016013)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
sarcoglycan complex (GO:0016012)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
autolysosome (GO:0044754)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
dystroglycan complex (GO:0016011)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
dystrophin-associated glycoprotein complex (GO:0016010)	19	0	.10	-	 < 0.01	1.00E00	1.00E00
amphisome (GO:0044753)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
septin cytoskeleton (GO:0032156)	15	0	.08	-	 < 0.01	1.00E00	1.00E00
cleavage furrow (GO:0032154)	55	0	.29	-	 < 0.01	1.00E00	1.00E00
integrin alphaM-beta2 complex (GO:0034688)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
integrin alphaL-beta2 complex (GO:0034687)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
integrin alphav-beta8 complex (GO:0034686)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
integrin alphav-beta6 complex (GO:0034685)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
integrin alphav-beta5 complex (GO:0034684)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
XY body (GO:0001741)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
integrin alphav-beta3 complex (GO:0034683)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Barr body (GO:0001740)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
DNA polymerase complex (GO:0042575)	22	0	.12	-	 < 0.01	1.00E00	1.00E00
integrin alpha11-beta1 complex (GO:0034681)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
integrin alpha10-beta1 complex (GO:0034680)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
immunoglobulin complex, circulating (GO:0042571)	94	0	.49	-	 < 0.01	1.00E00	1.00E00
MICOS complex (GO:0061617)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
mitotic checkpoint complex (GO:0033597)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
TSC1-TSC2 complex (GO:0033596)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
BRCA2-MAGE-D1 complex (GO:0033593)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
4-aminobutyrate transaminase complex (GO:0032144)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
host cell (GO:0043657)	76	0	.40	-	 < 0.01	1.00E00	1.00E00
host intracellular region (GO:0043656)	19	0	.10	-	 < 0.01	1.00E00	1.00E00
sex chromatin (GO:0001739)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
integrin alpha9-beta1 complex (GO:0034679)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
integrin alpha8-beta1 complex (GO:0034678)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
integrin alpha7-beta1 complex (GO:0034677)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
integrin alpha6-beta4 complex (GO:0034676)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
insulin-like growth factor binary complex (GO:0042568)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
integrin alpha5-beta1 complex (GO:0034674)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
insulin-like growth factor ternary complex (GO:0042567)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
inhibin-betaglycan-ActRII complex (GO:0034673)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
RNA nuclear export complex (GO:0042565)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
NLS-dependent protein nuclear import complex (GO:0042564)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Elongator holoenzyme complex (GO:0033588)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
chromosome passenger complex (GO:0032133)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
integrin alpha4-beta7 complex (GO:0034669)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
integrin alpha4-beta1 complex (GO:0034668)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
stress fiber (GO:0001725)	71	0	.37	-	 < 0.01	1.00E00	1.00E00
integrin alpha3-beta1 complex (GO:0034667)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
integrin alpha2-beta1 complex (GO:0034666)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
dense core granule (GO:0031045)	20	0	.10	-	 < 0.01	1.00E00	1.00E00
Dsl1/NZR complex (GO:0070939)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum chaperone complex (GO:0034663)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
CRD-mediated mRNA stability complex (GO:0070937)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
proximal dendrite (GO:1990635)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
MCM complex (GO:0042555)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
IRE1-RACK1-PP2A complex (GO:1990630)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Golgi-associated vesicle lumen (GO:0070931)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
stereocilium base (GO:0120044)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
catenin complex (GO:0016342)	28	0	.15	-	 < 0.01	1.00E00	1.00E00
stereocilium shaft (GO:0120043)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
postsynaptic density, intracellular component (GO:0099092)	18	0	.09	-	 < 0.01	1.00E00	1.00E00
myelin sheath adaxonal region (GO:0035749)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
postsynaptic specialization, intracellular component (GO:0099091)	22	0	.12	-	 < 0.01	1.00E00	1.00E00
myelin sheath abaxonal region (GO:0035748)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
dense core granule membrane (GO:0032127)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
plastid (GO:0009536)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
chloroplast thylakoid membrane (GO:0009535)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
chloroplast thylakoid (GO:0009534)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Elg1 RFC-like complex (GO:0031391)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
CHOP-ATF3 complex (GO:1990622)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Ctf18 RFC-like complex (GO:0031390)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
ESCRT-0 complex (GO:0033565)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
synaptonemal structure (GO:0099086)	40	0	.21	-	 < 0.01	1.00E00	1.00E00
DNA helicase complex (GO:0033202)	17	0	.09	-	 < 0.01	1.00E00	1.00E00
SMC loading complex (GO:0032116)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Set1C/COMPASS complex (GO:0048188)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
PCNA complex (GO:0043626)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
delta DNA polymerase complex (GO:0043625)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
cytoplasmic side of mitochondrial outer membrane (GO:0032473)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Rad17 RFC-like complex (GO:0031389)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
activin complex (GO:0048180)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
CHOP-ATF4 complex (GO:1990617)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
interphase microtubule organizing center (GO:0031021)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
nuclear RNA-directed RNA polymerase complex (GO:0031380)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
lateral plasma membrane (GO:0016328)	59	0	.31	-	 < 0.01	1.00E00	1.00E00
EMILIN complex (GO:1990971)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Slx1-Slx4 complex (GO:0033557)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
BORC complex (GO:0099078)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
apicolateral plasma membrane (GO:0016327)	20	0	.10	-	 < 0.01	1.00E00	1.00E00
Prp19 complex (GO:0000974)	13	0	.07	-	 < 0.01	1.00E00	1.00E00
rDNA heterochromatin (GO:0033553)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
amylin receptor complex (GO:1903440)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
mitochondrion-derived vesicle (GO:0099073)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
activin receptor complex (GO:0048179)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
multi-eIF complex (GO:0043614)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA-directed RNA polymerase complex (GO:0031379)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
oligosaccharyltransferase I complex (GO:0034998)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
meiotic nuclear membrane microtubule tethering complex (GO:0034993)	11	0	.06	-	 < 0.01	1.00E00	1.00E00
Ino80 complex (GO:0031011)	17	0	.09	-	 < 0.01	1.00E00	1.00E00
IRE1-TRAF2-ASK1 complex (GO:1990604)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
microtubule organizing center attachment site (GO:0034992)	11	0	.06	-	 < 0.01	1.00E00	1.00E00
ISWI-type complex (GO:0031010)	11	0	.06	-	 < 0.01	1.00E00	1.00E00
UBC13-MMS2 complex (GO:0031372)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
nuclear meiotic cohesin complex (GO:0034991)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
ubiquitin conjugating enzyme complex (GO:0031371)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
calcitonin family receptor complex (GO:1903439)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
protein phosphatase 4 complex (GO:0030289)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
integral component of neuronal dense core vesicle membrane (GO:0099066)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
dynein complex (GO:0030286)	52	0	.27	-	 < 0.01	1.00E00	1.00E00
integral component of spine apparatus membrane (GO:0099065)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
integral component of postsynaptic density membrane (GO:0099061)	54	0	.28	-	 < 0.01	1.00E00	1.00E00
integral component of postsynaptic specialization membrane (GO:0099060)	79	0	.41	-	 < 0.01	1.00E00	1.00E00
protein-cysteine S-palmitoyltransferase complex (GO:1905961)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
chloroplast (GO:0009507)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
